2024-12-12 00:39:35.440 - LOG: Router started, listening on port 5000
2024-12-12 00:39:35.441 - LOG: Packets from A(127.0.0.1:7777) forward to B(127.0.0.1:8888)
2024-12-12 00:39:35.441 - LOG: Packets from B(127.0.0.1:8888) forward to A(127.0.0.1:7777)
2024-12-12 00:39:35.441 - LOG: Initial delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.289 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.314 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.314 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.314 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.334 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.374 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.414 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.414 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.414 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.434 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
